ОТЧЕТ О СЛОВОФОРМАХ С НЕСКОЛЬКИМИ ВАРИАНТАМИ УДАРЕНИЙ
=========================================================

№1    | Инфинитив: adaptúoti           | Форма: "adaptuotume" (Mes     ) | Варианты: adaptuotumè / adaptúotume
№637  | Инфинитив: dùrti               | Форма: "durtu" (Jis/ji  ) | Варианты: durtų̃ / dùrtų
№638  | Инфинитив: dū́sauti             | Форма: "dusavau" (Aš      ) | Варианты: dūsavaũ / dū́savau
№639  | Инфинитив: dū́sauti             | Форма: "dusavai" (Tu      ) | Варианты: dūsavaĩ / dū́savai
№640  | Инфинитив: dū́sauti             | Форма: "dusavo" (Jis/ji  ) | Варианты: dūsãvo / dū́savo
№641  | Инфинитив: dvel̃kti             | Форма: "dvelktu" (Jis/ji  ) | Варианты: dvelktų̃ / dvel̃ktų
№642  | Инфинитив: dvõkti              | Форма: "dvoktu" (Jis/ji  ) | Варианты: dvoktų̃ / dvõktų
№643  | Инфинитив: džiaũgtis            | Форма: "dziaukis" (Tu      ) | Варианты: džiáukis / džiaũkis
№644  | Инфинитив: džiaũgtis            | Форма: "dziaukites" (Jūs     ) | Варианты: džiáukitės / džiaũkitės
№645  | Инфинитив: džiovìnti          | Форма: "dziovini" (Tu      ) | Варианты: džiovìni / džiovinì
№646  | Инфинитив: džiū́gauti           | Форма: "dziugauciau" (Aš      ) | Варианты: džiūgaučiaũ / džiū́gaučiau
№647  | Инфинитив: džiū́gauti           | Форма: "dziugautume" (Mes     ) | Варианты: džiūgautumè / džiū́gautume
№648  | Инфинитив: egzistúoti          | Форма: "egzistuociau" (Aš      ) | Варианты: egzistuočiaũ / egzistúočiau
№649  | Инфинитив: eĩti                | Форма: "ejai" (Tu      ) | Варианты: ė̃jai / ėjaĩ
№650  | Инфинитив: eĩti                | Форма: "eiciau" (Aš      ) | Варианты: eičiaũ / eĩčiau
№651  | Инфинитив: éngti               | Форма: "engtu" (Jis/ji  ) | Варианты: engtų̃ / éngtų
№652  | Инфинитив: ė́sti                | Форма: "edu" (Aš      ) | Варианты: ėdù / ė́du
№653  | Инфинитив: ė́sti                | Форма: "edi" (Tu      ) | Варианты: ė̃di / ė́di
№654  | Инфинитив: ė́sti                | Форма: "estu" (Jis/ji  ) | Варианты: ėstų̃ / ė́stų
№655  | Инфинитив: ė́sti                | Форма: "estume" (Mes     ) | Варианты: ėstumè / ė́stume
№656  | Инфинитив: filmúoti            | Форма: "filmuociau" (Aš      ) | Варианты: filmuočiaũ / filmúočiau
№657  | Инфинитив: finansúoti          | Форма: "finansuociau" (Aš      ) | Варианты: finansuočiaũ / finansúočiau
№658  | Инфинитив: flirtúoti           | Форма: "flirtuociau" (Aš      ) | Варианты: flirtuočiaũ / flirtúočiau
№659  | Инфинитив: formúoti            | Форма: "formuociau" (Aš      ) | Варианты: formuočiaũ / formúočiau
№660  | Инфинитив: fotografúoti        | Форма: "fotografuociau" (Aš      ) | Варианты: fotografuočiaũ / fotografúočiau
№661  | Инфинитив: gailė́ti             | Форма: "gaileciau" (Aš      ) | Варианты: gailėčiaũ / gailė́čiau
№662  | Инфинитив: gailė́tis            | Форма: "gailesis" (Jis/ji  ) | Варианты: gailė́sis / gailė̃sis
№663  | Инфинитив: gailė́tis            | Форма: "gaileciausi" (Aš      ) | Варианты: gailėčiáusi / gailė́čiausi
№664  | Инфинитив: gaĩšti              | Форма: "gaisti" (Tu      ) | Варианты: gaĩšti / gaištì
№665  | Инфинитив: gaĩšti              | Форма: "gaisi" (Tu      ) | Варианты: gaišì / gaĩši
№666  | Инфинитив: gaĩšti              | Форма: "gaisime" (Mes     ) | Варианты: gaišimè / gaĩšime
№667  | Инфинитив: gaĩšti              | Форма: "gaistu" (Jis/ji  ) | Варианты: gaištų̃ / gaĩštų
№668  | Инфинитив: galą́sti             | Форма: "galastu" (Jis/ji  ) | Варианты: galąstų̃ / galą́stų
№669  | Инфинитив: galvóti             | Форма: "galvociau" (Aš      ) | Варианты: galvočiaũ / galvóčiau
№670  | Инфинитив: gamìnti             | Форма: "gaminciau" (Aš      ) | Варианты: gaminčiaũ / gamìnčiau
№671  | Инфинитив: ganýti              | Форма: "ganyciau" (Aš      ) | Варианты: ganyčiaũ / ganýčiau
№672  | Инфинитив: garantúoti          | Форма: "garantuociau" (Aš      ) | Варианты: garantuočiaũ / garantúočiau
№673  | Инфинитив: gą̃sdinti            | Форма: "gasdintume" (Mes     ) | Варианты: gąsdintumè / gą̃sdintume
№674  | Инфинитив: gáudyti             | Форма: "gaudziau" (Aš      ) | Варианты: gaudžiaũ / gáudžiau
№675  | Инфинитив: gáudyti             | Форма: "gaudyciau" (Aš      ) | Варианты: gaudyčiaũ / gáudyčiau
№676  | Инфинитив: gáuti               | Форма: "gauciau" (Aš      ) | Варианты: gaučiaũ / gáučiau
№677  | Инфинитив: gebė́ti              | Форма: "gebeciau" (Aš      ) | Варианты: gebėčiaũ / gebė́čiau
№678  | Инфинитив: gedė́ti              | Форма: "gedetume" (Mes     ) | Варианты: gedėtumè / gedė́tume
№679  | Инфинитив: geĩsti              | Форма: "geisciau" (Aš      ) | Варианты: geisčiaũ / geĩsčiau
№680  | Инфинитив: geĩsti              | Форма: "geistu" (Jis/ji  ) | Варианты: geistų̃ / geĩstų
№681  | Инфинитив: gélbėti             | Форма: "gelbeciau" (Aš      ) | Варианты: gelbėčiaũ / gélbėčiau
№682  | Инфинитив: gélbėti             | Форма: "gelbetume" (Mes     ) | Варианты: gelbėtumè / gélbėtume
№683  | Инфинитив: gélti               | Форма: "geliau" (Aš      ) | Варианты: gėliaũ / gė́liau
№684  | Инфинитив: gélti               | Форма: "gelei" (Tu      ) | Варианты: gė̃lei / gė́lei
№685  | Инфинитив: gélti               | Форма: "gele" (Jis/ji  ) | Варианты: gėlė̃ / gė́lė
№686  | Инфинитив: genė́ti              | Форма: "genes" (Jis/ji  ) | Варианты: gènės / genė̃s
№687  | Инфинитив: ger̃bti              | Форма: "gerbciau" (Aš      ) | Варианты: gerbčiaũ / ger̃bčiau
№688  | Инфинитив: ger̃bti              | Форма: "gerbtu" (Jis/ji  ) | Варианты: gerbtų̃ / ger̃btų
№689  | Инфинитив: gėrė́tis             | Форма: "geresis" (Jis/ji  ) | Варианты: gėrė́sis / gėrė̃sis
№690  | Инфинитив: gėrė́tis             | Форма: "gereciausi" (Aš      ) | Варианты: gėrėčiáusi / gėrė́čiausi
№691  | Инфинитив: gérti               | Форма: "gerciau" (Aš      ) | Варианты: gerčiaũ / gérčiau
№692  | Инфинитив: gérti               | Форма: "gertu" (Jis/ji  ) | Варианты: gertų̃ / gértų
№693  | Инфинитив: giedóti             | Форма: "giedociau" (Aš      ) | Варианты: giedočiaũ / giedóčiau
№694  | Инфинитив: gilė́ti              | Форма: "giles" (Jis/ji  ) | Варианты: gìlės / gilė̃s
№695  | Инфинитив: gimdýti             | Форма: "gimdyciau" (Aš      ) | Варианты: gimdyčiaũ / gimdýčiau
№696  | Инфинитив: gìmti               | Форма: "gimciau" (Aš      ) | Варианты: gimčiaũ / gìmčiau
№697  | Инфинитив: gìmti               | Форма: "gimtu" (Jis/ji  ) | Варианты: gimtų̃ / gìmtų
№698  | Инфинитив: gìnti               | Форма: "ginciau" (Aš      ) | Варианты: ginčiaũ / giñčiau
№699  | Инфинитив: girdė́ti             | Форма: "girdesi" (Tu      ) | Варианты: girdė́si / gìrdėsi
№700  | Инфинитив: girdė́ti             | Форма: "girdes" (Jis/ji  ) | Варианты: girdė̃s / gìrdės
№701  | Инфинитив: girdė́ti             | Форма: "girdeciau" (Aš      ) | Варианты: girdėčiaũ / girdė́čiau
№702  | Инфинитив: girdė́ti             | Форма: "girdetume" (Mes     ) | Варианты: girdėtumè / girdė́tume
№703  | Инфинитив: girgždė́ti           | Форма: "girgzda" (Jis/ji  ) | Варианты: girgždà / gìrgžda
№704  | Инфинитив: girtáuti            | Форма: "girtauciau" (Aš      ) | Варианты: girtaučiaũ / girtáučiau
№705  | Инфинитив: gìrti               | Форма: "girtu" (Jis/ji  ) | Варианты: girtų̃ / gìrtų
№706  | Инфинитив: glamonė́ti           | Форма: "glamones" (Jis/ji  ) | Варианты: glamõnės / glamonė̃s
№707  | Инфинитив: glamonė́ti           | Форма: "glamoneciau" (Aš      ) | Варианты: glamonėčiaũ / glamonė́čiau
№708  | Инфинитив: glaũsti             | Форма: "glausciau" (Aš      ) | Варианты: glausčiaũ / glaũsčiau
№709  | Инфинитив: glaũsti             | Форма: "glaustu" (Jis/ji  ) | Варианты: glaustų̃ / glaũstų
№710  | Инфинитив: glaũstis            | Форма: "glaudziausi" (Aš      ) | Варианты: glaudžiáusi / glaudžiaũsi
№711  | Инфинитив: glaũstis            | Форма: "glausciausi" (Aš      ) | Варианты: glausčiáusi / glausčiaũsi
№712  | Инфинитив: glė́bti              | Форма: "glebiu" (Aš      ) | Варианты: glėbiù / glė́biu / glėbiù
№713  | Инфинитив: glė́bti              | Форма: "glebi" (Tu      ) | Варианты: glė́bi / glėbì
№714  | Инфинитив: glė́bti              | Форма: "glebia" (Jis/ji  ) | Варианты: glė́bia / glė̃bia
№715  | Инфинитив: glė́bti              | Форма: "glebiame" (Mes     ) | Варианты: glė́biame / glė̃biame
№716  | Инфинитив: glė́bti              | Форма: "glebiate" (Jūs     ) | Варианты: glė́biate / glė̃biate
№717  | Инфинитив: glė́bti              | Форма: "glebiau" (Aš      ) | Варианты: glė́biau / glėbiaũ
№718  | Инфинитив: glė́bti              | Форма: "glebei" (Tu      ) | Варианты: glė́bei / glėbeĩ
№719  | Инфинитив: glė́bti              | Форма: "glebe" (Jis/ji  ) | Варианты: glė́bė / glė̃bė
